"";"Id";"LastInvoiceDate";"EnergyCutOffDate";"AgreementCutOffDate";"EnergyInvoicesDue";"AgreementInvoicesDue";"PSVAInvoicesDue";"TotalDebt";"TotalOverdueDebt";"TotalInvoicesDue";"CustomerRating";"PaymentProbability";"FirstProbabilityAction";"SecondProbabilityAction"
"4631";"0035B00000CTtPuQAL";"";"";"";1;0;0;13592;13592;1;1;0,837759478974734;"No Hacer Nada";"No Hacer Nada"
"5153";"0035B00000CTuW2QAL";"2014-12-01";"2017-12-21";"";1;0;0;36105;36105;1;1;0,837755510709964;"No Hacer Nada";"No Hacer Nada"
"22102";"0035B00000CU61cQAD";"2010-10-06";"2017-12-18";"";1;0;0;12667;12667;1;1;0,837700968105822;"No Hacer Nada";"No Hacer Nada"
"7625";"0035B00000CQBHaQAP";"";"2017-11-16";"";2;0;0;45155;45155;2;1;0,837688139516232;"No Hacer Nada";"No Hacer Nada"
"17027";"0035B00000CL9U3QAL";"";"";"";1;0;0;12186;12186;1;1;0,837668400895842;"No Hacer Nada";"No Hacer Nada"
"6272";"0035B00000CLGMXQA5";"2010-02-08";"2017-12-14";"";1;0;0;36312;36312;1;1;0,837654546827144;"No Hacer Nada";"No Hacer Nada"
"4169";"0035B00000BAw8ZQAT";"2013-06-20";"2017-11-30";"";1;0;0;17079;17079;1;1;0,837620480677042;"No Hacer Nada";"No Hacer Nada"
"22352";"0035B00000BAvawQAD";"2009-11-24";"2017-11-30";"";1;0;0;60670;60670;1;1;0,837619390110486;"No Hacer Nada";"No Hacer Nada"
"13864";"0035B00000BBTXTQA5";"2017-10-19";"2017-12-05";"2017-11-20";1;0;0;105187;73391;1;1;0,83759884231748;"No Hacer Nada";"No Hacer Nada"
"19297";"0035B00000AUym2QAD";"2010-05-15";"2017-11-30";"";1;0;0;275426;275426;1;1;0,837598148712521;"Email";"SMS"
"6357";"0035B00000CQ7yKQAT";"2014-03-07";"";"";1;0;0;23342;23342;1;1;0,837579941685443;"No Hacer Nada";"No Hacer Nada"
"2246";"0035B00000BGTJDQA5";"2013-02-26";"2017-11-30";"";1;0;0;60543;60543;1;1;0,837570305429734;"No Hacer Nada";"No Hacer Nada"
"17126";"0035B00000BBPquQAH";"2015-09-21";"2017-11-30";"";1;0;0;45699;45699;1;1;0,83756151845257;"No   Hacer Nada";"No Hacer Nada"
"24012";"0035B00000BGUm9QAH";"2010-02-26";"2017-11-30";"";1;0;0;30576;30576;1;1;0,837451904113804;"No Hacer Nada";"No Hacer Nada"
"21701";"0035B00000CQ9mrQAD";"";"";"";1;0;0;19914;19914;1;1;0,837448762382761;"No Hacer Nada";"No Hacer Nada"
"8361";"0035B00000CKzIOQA1";"";"";"";1;0;0;11675;11675;1;1;0,837445859289452;"No Hacer Nada";"No Hacer Nada"
"24277";"0035B00000BFy0FQAT";"";"2017-11-30";"";1;0;0;45774;45774;1;1;0,837441559336081;"No Hacer Nada";"No Hacer Nada"
"16472";"0035B00000CU7cTQAT";"2017-10-16";"";"";1;0;0;22174;22174;1;1;0,837423043150614;"No Hacer Nada";"No Hacer Nada"
"20596";"0035B00000CYNi0QAH";"2011-09-03";"2017-12-12";"";1;0;0;13555;13555;1;1;0,83740364395718;"No Hacer Nada";"No Hacer Nada"
"4887";"0035B00000CTlMqQAL";"";"";"";1;0;0;15387;15387;1;1;0,83739303615039;"No Hacer Nada";"No Hacer Nada"
"4033";"0035B00000CTttzQAD";"2016-04-26";"2017-11-16";"";2;0;0;37484;37484;2;1;0,83739216248284;"No Hacer Nada";"No Hacer Nada"
